trct,access_total,access_low,access_med,access_high,cutoff,totjobs,lowjobs,medjobs,highjobs,workers_all,workers_low,workers_med,workers_high
48453002440,125,41,43,41,45,125,41,43,41,3486,1143.4080000000001,1199.184,1143.4080000000001
48453042600,1464,447,584,433,45,829,284,328,217,1995,683.4499396863691,789.3365500603136,522.2135102533173
48453046100,2367,942,735,690,45,2367,942,735,690,3529,1404.443599493029,1095.8238276299114,1028.7325728770595
48453002446,460,156,220,84,45,460,156,220,84,705,239.08695652173913,337.17391304347825,128.7391304347826
48453002445,1536,145,332,1059,45,1536,145,332,1059,3695,348.81184895833337,798.6588541666667,2547.529296875
48453002442,1109,330,492,287,45,19,4,12,3,1612,339.36842105263156,1018.1052631578947,254.52631578947367
48453045900,424,93,116,215,45,424,93,116,215,5658,1241.0235849056605,1547.943396226415,2869.0330188679245
48453035600,493,188,108,197,45,493,188,108,197,998,380.5760649087221,218.6288032454361,398.7951318458418
48453035500,178,61,44,73,45,178,61,44,73,2112,723.7752808988764,522.0674157303371,866.1573033707865
48453002219,1057,101,367,589,45,1057,101,367,589,2717,259.6187322611164,943.3670766319773,1514.0141911069065
48453001923,1912,683,526,703,45,513,158,119,236,1732,533.4424951267056,401.7699805068226,796.7875243664716
48453033000,1074,267,319,488,45,1074,267,319,488,3512,873.0949720670391,1043.1359404096834,1595.7690875232774
48453036900,606,232,190,184,45,606,232,190,184,1432,548.2244224422443,448.97689768976903,434.79867986798683
48453001309,14020,2874,2684,8462,45,5040,993,655,3392,1358,267.55833333333334,176.48611111111111,913.9555555555556
48453036600,0,0,0,0,45,2328,606,705,1017,3612,940.2371134020619,1093.840206185567,1577.9226804123712
48453034000,3406,782,756,1868,45,3406,782,756,1868,2799,642.6359365825015,621.269524368761,1535.0945390487377
48453037400,231,53,72,106,45,231,53,72,106,1923,441.20779220779224,599.3766233766233,882.4155844155845
48453030200,13318,2988,3380,6950,45,6756,1094,1423,4239,2260,365.9621077560687,476.01835405565424,1418.019538188277
48453032200,8704,2087,2049,4568,45,1336,343,375,618,970,249.03443113772454,272.2679640718563,448.6976047904192
48453032300,8704,2087,2049,4568,45,7368,1744,1674,3950,2151,509.1400651465798,488.7043973941368,1153.1555374592833
48453030700,700,82,97,521,45,700,82,97,521,1726,202.18857142857144,239.1742857142857,1284.6371428571429
48453032000,13952,1457,2455,10040,45,4861,614,1305,2942,3138,396.3653569224439,842.4377700061716,1899.1968730713843
48453043500,2069,306,771,992,45,2069,306,771,992,3750,554.61575640406,1397.4142097631707,1797.9700338327693
48453042400,3632,297,443,2892,45,3632,297,443,2892,5732,468.7235682819383,699.1398678414097,4564.136563876652
48453040300,6344,1659,1999,2686,45,6344,1659,1999,2686,2086,545.5034678436318,657.3004413619167,883.1960907944515
48453043600,11530,1575,3160,6795,45,11530,1575,3160,6795,1948,266.0971379011275,533.8837814397225,1148.01908065915
48453031800,2371,719,834,818,45,1448,359,544,545,2508,621.8038674033149,942.232044198895,943.9640883977901
48453031700,2371,719,834,818,45,923,360,290,273,2297,895.9046587215602,721.7009750812567,679.3943661971831
48453031000,1545,388,477,680,45,568,167,177,224,2577,757.6742957746479,803.044014084507,1016.2816901408451
48453002323,3850,952,1031,1867,45,1921,492,450,979,1486,380.589276418532,348.0999479437793,757.3107756376887
48453002322,3210,702,1159,1349,45,3210,702,1159,1349,969,211.9121495327103,349.86635514018695,407.22149532710284
48453037300,386,83,129,174,45,386,83,129,174,1377,296.09067357512953,460.1891191709845,620.720207253886
48453030600,4414,832,1361,2221,45,4414,832,1361,2221,2683,505.72179429089266,827.268463978251,1350.0097417308564
48453002438,608,96,221,291,45,608,96,221,291,3607,569.5263157894736,1311.0970394736842,1726.376644736842
48453000608,30723,2590,5102,23031,45,921,417,227,277,669,302.90228013029315,164.88925081433226,201.20846905537462
48453000606,33959,3155,6024,24780,45,523,241,183,99,767,353.4359464627151,268.376673040153,145.18738049713195
48453000607,34053,3162,5932,24959,45,838,216,181,441,884,227.8568019093079,190.93556085918854,465.20763723150355
48453001101,109198,14384,16825,77989,45,47560,7502,8546,31512,975,153.79415475189234,175.1965937762826,646.0092514718251
48453001310,18392,4298,3867,10227,45,2951,749,947,1255,1950,494.9339207048458,625.7709251101322,829.295154185022
48453001102,142913,19088,23762,100063,45,19207,2515,2383,14309,1766,231.24329671473942,219.10647159889623,1315.6502316863644
48453033100,740,159,135,446,45,740,159,135,446,1879,403.7310810810811,342.7905405405405,1132.4783783783782
48453037000,4009,860,1279,1870,45,4009,860,1279,1870,2337,501.3270142180094,745.5781990521327,1090.0947867298578
48453033300,676,191,213,272,45,676,191,213,272,3982,1125.0917159763314,1254.6834319526627,1602.224852071006
48453030900,1545,388,477,680,45,977,221,300,456,3647,824.9611054247697,1119.85670419652,1702.1821903787104
48453037500,487,110,135,242,45,487,110,135,242,820,185.21560574948666,227.3100616016427,407.47433264887064
48453045000,34,11,13,10,45,34,11,13,10,1387,448.7352941176471,530.3235294117646,407.94117647058823
48453002221,70,8,23,39,45,70,8,23,39,835,95.42857142857143,274.35714285714283,465.2142857142857
48453046600,368,56,115,197,45,368,56,115,197,2600,395.6521739130435,812.5,1391.8478260869565
48453002218,230,51,81,98,45,230,51,81,98,2417,535.9434782608696,851.204347826087,1029.8521739130435
48453002006,3538,906,1144,1488,45,335,64,88,183,1406,268.6089552238806,369.3373134328358,768.0537313432835
48453002007,5711,1556,1554,2601,45,1167,341,409,417,1363,398.2716366752357,477.69237360754073,487.03598971722363
48453037600,531,161,166,204,45,531,161,166,204,1382,419.02448210922785,432.0376647834275,530.9378531073446
48453034800,1152,413,421,318,45,1152,413,421,318,2416,866.1527777777777,882.9305555555555,666.9166666666667
48453000605,5981,1329,1485,3167,45,2513,397,569,1547,917,144.86629526462394,207.62952646239555,564.5041782729805
48453036000,170,37,56,77,45,170,37,56,77,879,191.31176470588235,289.5529411764706,398.13529411764705
48453031500,2697,553,742,1402,45,2697,553,742,1402,3229,662.0826844642195,888.3641082684464,1678.5532072673338
48453034900,759,212,195,352,45,759,212,195,352,3199,893.528326745718,821.8774703557312,1483.5942028985507
48453031200,2157,632,640,885,45,2157,632,640,885,3151,923.2415391747799,934.9281409364859,1292.8303198887345
48453045400,25692,3959,4435,17298,45,25692,3959,4435,17298,3755,578.625447610151,648.1949634127355,2528.1795889771133
48453045300,11161,1360,2157,7644,45,10736,1221,2008,7507,2380,270.67622950819674,445.14157973174366,1664.1821907600595
48453040400,16317,3960,4327,8030,45,6562,1894,1957,2711,2198,634.4120694910089,655.5144772935081,908.0734532154831
48453001920,5472,561,791,4120,45,5472,561,791,4120,2947,302.13212719298247,426.00091374269005,2218.8669590643276
48453002324,2867,715,866,1286,45,140,80,34,26,763,436,185.3,141.70000000000002
48453041200,1693,357,546,790,45,1693,357,546,790,1376,290.1547548730065,443.76609568812756,642.0791494388659
48453045800,167,58,66,43,45,167,58,66,43,1291,448.37125748502996,510.21556886227546,332.4131736526946
48453002217,3271,469,988,1814,45,3271,469,988,1814,2636,377.9529195964537,796.1993274228064,1461.8477529807396
48453044700,213,32,63,118,45,213,32,63,118,909,136.56338028169014,268.85915492957747,503.5774647887324
48453002450,410,134,177,99,45,410,134,177,99,1304,426.18536585365854,562.9463414634147,314.86829268292684
48453044800,841,163,261,417,45,841,163,261,417,1916,371.35315101070154,594.6206896551724,950.0261593341261
48453036500,1483,336,484,663,45,1483,336,484,663,3137,710.7430883344572,1023.8084962913015,1402.4484153742414
48453002220,813,79,247,487,45,813,79,247,487,1252,121.65805658056581,380.3739237392374,749.9680196801968
48453040500,13134,3533,3960,5641,45,2999,972,947,1080,2253,730.215405135045,711.434144714905,811.35045015005
48453031100,899,213,249,437,45,899,213,249,437,1805,427.65850945495,499.9388209121246,877.4026696329255
48453031400,1050,187,295,568,45,1050,187,295,568,1781,317.187619047619,500.37619047619046,963.4361904761905
48453035700,529,161,232,136,45,529,161,232,136,2199,669.2608695652175,964.4007561436673,565.3383742911153
48453040800,7802,903,1984,4915,45,5257,432,1312,3513,2130,175.03519117367318,531.5883583793037,1423.376450447023
48453040100,6406,1849,2279,2278,45,1679,515,662,502,1629,499.6634901727218,642.2858844550327,487.0506253722454
48453041800,13067,1649,2619,8799,45,425,139,149,137,1720,562.5411764705883,603.0117647058823,554.4470588235293
48453041700,7588,860,1923,4805,45,1128,153,188,787,1145,155.30585106382978,190.83333333333331,798.8608156028369
48453002443,2539,929,883,727,45,1542,603,482,457,2335,913.1031128404669,729.8767833981842,692.0201037613489
48453034700,776,304,243,229,45,776,304,243,229,2767,1083.979381443299,866.4703608247422,816.5502577319588
48453037200,308,113,110,85,45,308,113,110,85,3150,1155.681818181818,1125,869.3181818181819
48453002444,3686,1169,1271,1246,45,997,326,401,270,2060,673.5807422266801,828.5456369107321,557.8736208625878
48453033600,2612,687,791,1134,45,2612,687,791,1134,1879,494.2086523736601,569.0233537519142,815.7679938744258
48453040900,8750,1486,2546,4718,45,1417,318,484,615,2283,512.3458009880029,779.7967537050106,990.8574453069866
48453040600,6348,1524,2180,2644,45,682,189,307,186,1214,336.4310850439882,546.4780058651027,331.09090909090907
48453033400,955,423,288,244,45,518,295,123,100,1591,906.0714285714286,377.7857142857143,307.14285714285717
48453001922,1863,400,457,1006,45,1863,400,457,1006,1202,258.0783682232958,294.85453569511543,649.0670960815888
48453001103,82852,13226,12880,56746,45,15192,3021,1729,10442,1613,320.7525671406003,183.57536861506057,1108.672064244339
48453035100,729,204,234,291,45,729,204,234,291,1593,445.77777777777777,511.3333333333333,635.8888888888889
48453030300,3563,927,1196,1440,45,2527,625,899,1003,1872,462.9996042738425,665.9786307874951,743.0217649386625
48453030400,1195,326,357,512,45,1195,326,357,512,2357,642.9974895397489,704.1414225941423,1009.8610878661087
48453034300,516,94,186,236,45,516,94,186,236,2071,377.2751937984496,746.5232558139535,947.2015503875969
48453034400,1075,194,338,543,45,1075,194,338,543,1531,276.2920930232558,481.3748837209302,773.3330232558139
48453033700,620,129,215,276,45,296,70,98,128,1192,281.8918918918919,394.64864864864865,515.4594594594595
48453032700,303,94,84,125,45,303,94,84,125,2026,628.5280528052805,561.6633663366337,835.8085808580857
48453032900,6525,706,994,4825,45,6525,706,994,4825,2682,290.1903448275862,408.56827586206896,1983.2413793103449
48453002451,615,111,143,361,45,615,111,143,361,3437,620.3365853658537,799.1723577235772,2017.4910569105693
48453037100,168,48,51,69,45,168,48,51,69,1273,363.7142857142857,386.44642857142856,522.8392857142857
48453036300,0,0,0,0,45,92,15,20,57,699,113.96739130434783,151.95652173913044,433.07608695652175
48453044300,474,85,131,258,45,361,42,90,229,2937,341.7008310249307,732.2160664819945,1863.0831024930749
48453001921,1100,399,376,325,45,1100,399,376,325,1238,449.05636363636364,423.17090909090905,365.7727272727273
48453043400,4404,878,1592,1934,45,4172,808,1496,1868,1465,283.7296260786194,525.3211888782358,655.9491850431448
48453002437,3371,1203,1310,858,45,3371,1203,1310,858,2164,772.2610501334915,840.9492732126965,550.789676653812
48453002441,1080,318,479,283,45,1061,314,467,280,2032,601.3647502356268,894.3864278982091,536.248821866164
48453035000,4334,291,521,3522,45,4334,291,521,3522,3043,204.3177203507153,365.8059529303184,2472.8763267189665
48453002216,393,60,148,185,45,393,60,148,185,4740,723.6641221374045,1785.038167938931,2231.297709923664
48453002448,8036,1154,2235,4647,45,8036,1154,2235,4647,3586,514.9631657541065,997.3506719761075,2073.686162269786
48453044200,1690,429,420,841,45,1690,429,420,841,2545,646.0384615384615,632.4852071005917,1266.4763313609467
48453000309,5350,1265,1577,2508,45,3439,768,988,1683,2750,614.1320151206746,790.0552486187845,1345.8127362605408
48453032600,1462,149,253,1060,45,1462,149,253,1060,2639,268.9541723666211,456.68057455540355,1913.3652530779752
48453002214,3687,449,440,2798,45,3687,449,440,2798,1098,133.71358828315704,131.03336045565501,833.2530512611879
48453002320,2413,282,700,1431,45,1886,213,471,1202,1476,166.69565217391303,368.60869565217394,940.695652173913
48453002327,1004,643,191,170,45,71,15,22,34,1398,295.3521126760563,433.18309859154925,669.4647887323944
48453002325,1531,712,420,399,45,933,628,169,136,1627,1095.1296891747052,294.70846730975353,237.16184351554128
48453043200,7963,2424,2728,2811,45,1046,173,363,510,965,159.60325047801146,334.8900573613767,470.50669216061186
48453033200,1165,219,326,620,45,1165,219,326,620,2678,503.418025751073,749.3802575107295,1425.2017167381973
48453035900,152,26,44,82,45,152,26,44,82,1289,220.48684210526315,373.13157894736844,695.3815789473684
48453036200,19,0,3,16,45,19,0,3,16,1331,0,210.15789473684208,1120.842105263158
48453043300,4404,878,1592,1934,45,232,70,96,66,1208,364.48275862068965,499.8620689655172,343.65517241379314
48453036100,314,64,90,160,45,314,64,90,160,2369,482.8535031847134,679.0127388535032,1207.1337579617834
48453034100,1940,421,585,934,45,1940,421,585,934,3079,668.1747422680412,928.4613402061855,1482.3639175257733
48453002452,138,46,51,41,45,138,46,51,41,871,290.3333333333333,321.89130434782606,258.77536231884056
48453046700,391,59,114,218,45,391,59,114,218,1859,280.51406649616365,542.0102301790282,1036.4757033248084
48453002222,22,11,8,3,45,22,11,8,3,1434,717,521.4545454545455,195.54545454545453
48453000308,5470,1277,1633,2560,45,1355,324,404,627,1342,320.89151291512917,400.1239852398524,620.9845018450185
48453034600,3213,465,538,2210,45,3213,465,538,2210,2053,297.11951447245565,343.7640834111422,1412.116402116402
48453002321,3346,910,869,1567,45,527,69,229,229,1784,233.57874762808348,775.2106261859582,775.2106261859582
48453002215,213,66,45,102,45,213,66,45,102,1731,536.3661971830985,365.70422535211264,828.9295774647887
