h3_id,percentile,cutoff,access_total_jobs,access_low_wage_jobs,access_middle_wage_jobs,access_high_wage_jobs,lon,lat,network_snapshot,gtfs_snapshot,jobs_year,departure_datetime
88489e26e5fffff,50,45,763,110,165,488,-97.78133292291876,30.422840882342545,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e22b1fffff,50,45,383,17,54,312,-97.65946357965215,30.357523108012405,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898c94dfffff,50,45,65,8,9,48,-97.84325495350188,30.351131342042574,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e26b7fffff,50,45,13199,2549,3175,7475,-97.80475772369712,30.468369131256285,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2283fffff,50,45,14768,1338,3070,10360,-97.66869345887626,30.341760698258177,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489eacadfffff,50,45,10354,2298,3578,4478,-97.80067509122296,30.16713956757352,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3759fffff,50,45,14616,1334,3913,9369,-97.75726261890806,30.20733154910839,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2689fffff,50,45,203,28,30,145,-97.8175978740947,30.4292988481843,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2255fffff,50,45,1354,73,277,1004,-97.6388046447273,30.273261479015723,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e372bfffff,50,45,116879,12364,19931,84584,-97.71284809757066,30.232074107074045,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e265bfffff,50,45,1118,52,60,1006,-97.80899975689329,30.375521656424223,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2227fffff,50,45,0,0,0,0,-97.5943671056068,30.297943708155724,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e32c9fffff,50,45,177,10,12,155,-97.69677278477272,30.139890467361187,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898d965fffff,50,45,14636,3207,4656,6773,-97.8388624933088,30.20442931627728,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e262dfffff,50,45,18296,1953,2682,13661,-97.74310375142464,30.385545844428297,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489eac23fffff,50,45,31,2,8,21,-97.77271120318522,30.129478996444675,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e329bfffff,50,45,0,0,0,0,-97.72009820859068,30.185450110732138,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898d937fffff,50,45,8400,300,550,7550,-97.86227278687969,30.249974391375652,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898d909fffff,50,45,1734,513,509,712,-97.87507355640795,30.210857127160967,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3645fffff,50,45,36286,6965,10892,18429,-97.79246271431644,30.198355544273987,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3617fffff,50,45,2520,308,739,1473,-97.81584829808308,30.243904082269097,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2547fffff,50,45,7796,1271,2000,4525,-97.66896240594755,30.42670325234362,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e35e9fffff,50,45,161233,17115,30233,113885,-97.71776013882427,30.309171797866256,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2519fffff,50,45,5323,391,803,4129,-97.69596776090148,30.448950108187596,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e20e5fffff,50,45,36,8,10,18,-97.5992009395142,30.37500631273287,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e35bbfffff,50,45,17626,3425,4608,9593,-97.74112993544132,30.354714814559408,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e24ebfffff,50,45,1094,146,174,774,-97.76947514528877,30.47731650130004,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e358dfffff,50,45,209363,22860,37023,149480,-97.72895002385008,30.32423542800308,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3531fffff,50,45,81615,9670,17236,54709,-97.6917591929546,30.302344945082915,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2461fffff,50,45,2375,371,505,1499,-97.7200328708901,30.424959839386883,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e3503fffff,50,45,221565,22479,38616,160470,-97.7009819015285,30.28657476065646,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2433fffff,50,45,3254,112,195,2947,-97.74342695796764,30.47049175581121,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e34d5fffff,50,45,331,13,36,282,-97.82083120267784,30.321015167684333,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e2405fffff,50,45,15956,552,1399,14005,-97.73123425237046,30.4400207761408,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
88489e34a7fffff,50,45,720,95,157,468,-97.77637267579355,30.34576103417368,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898db43fffff,50,45,0,0,0,0,-97.9118588235651,30.147655096188583,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
884898db15fffff,50,45,180,26,43,111,-97.91387575746424,30.17851692797845,2026-06-25,2026-06-25,2023,2026-07-13 07:00:00
